# plugin  item quantite chance(xx,xx)
minecraft netherite_scrap 1 2.3
minecraft book 12 3.4
itemreward ULU 1 1.6
itemreward GiantBoots 1 1.1
itemreward GoblinPickaxe 1 3.4
itemreward SwimmingPotion 1 2.3
itemreward MiningPotion 1 3.4
itemreward FlyPotion_1 1 3.8
itemreward FlyPotion_2 1 3.4
itemreward FlyPotion_3 1 2.9
itemreward FlyPotion_4 1 2.5
itemreward PhantomPotion 1 3.8
minecraft anvil 1 2.3
minecraft bell 1 2.3
minecraft gold_block 2 2.3
minecraft iron_block 3 3.4
minecraft slime_ball 16 2.3
minecraft brick 32 3.8
minecraft stone_brics 32 3.8
minecraft grass_block 64 3.4
minecraft diamond 4 1.1
minecraft gold_ingot 12 2.3
minecraft iron_ingot 16 4.5
minecraft stone 64 3.4
minecraft shulker_shell 1 2.3
minecraft shulker_box 1 1.8
minecraft birch_log 64 1.8
minecraft spruce_log 64 1.8
minecraft oak_log 64 1.8
minecraft acacia_log 64 1.8
minecraft jungle_log 64 1.8
minecraft dark_oak_log 64 1.8
minecraft quartz_ore 64 3.4
minecraft experience_bottle 32 2.3
minecraft fire_rocket 64 3.4
